cve,ubicageo_c,orgapoli_e,sexostt,sexos1,sexos2,,,,orgapoli_e,(Varios elementos),,,
4,4006,8,0,0,0,,,,,,,,
4,4006,9,0,0,0,,,,,,,,
4,4007,1,29,29,0,,,,,,,,
4,4007,2,0,0,0,,,,,,,,
4,4007,3,0,0,0,,,,,,,,
4,4007,4,0,0,0,,,,,,,,
4,4007,5,0,0,0,,,,,,,,
4,4007,6,NA,NA,NA,,,,,,,,
4,4007,7,1,1,0,,,,,,,,
4,4007,8,3,1,2,,,,,,,,
4,4007,9,0,0,0,,,,,,,,
4,4008,1,42,41,1,,,,,,,,
4,4008,2,0,0,0,,,,,,,,
4,4008,3,0,0,0,,,,,,,,
4,4008,4,0,0,0,,,,,,,,
4,4008,5,0,0,0,,,,,,,,
4,4008,6,NA,NA,NA,,,,,,,,
4,4008,7,0,0,0,,,,,,,,
4,4008,8,0,0,0,,,,,,,,
4,4008,9,0,0,0,,,,,,,,
4,4009,1,0,0,0,,,,,,,,
4,4009,2,0,0,0,,,,,,,,
4,4009,3,0,0,0,,,,,,,,
4,4009,4,0,0,0,,,,,,,,
4,4009,5,64,63,1,,,,,,,,
4,4009,6,NA,NA,NA,,,,,,,,
4,4009,7,2,2,0,,,,,,,,
4,4009,8,3,0,3,,,,,,,,
4,4009,9,0,0,0,,,,,,,,
4,4010,1,31,31,0,,,,,,,,
4,4010,2,0,0,0,,,,,,,,
4,4010,3,0,0,0,,,,,,,,
4,4010,4,0,0,0,,,,,,,,
4,4010,5,0,0,0,,,,,,,,
4,4010,6,NA,NA,NA,,,,,,,,
4,4010,7,0,0,0,,,,,,,,
4,4010,8,1,0,1,,,,,,,,
4,4010,9,0,0,0,,,,,,,,
4,4011,1,0,0,0,,,,,,,,
4,4011,2,0,0,0,,,,,,,,
4,4011,3,0,0,0,,,,,,,,
4,4011,4,0,0,0,,,,,,,,
4,4011,5,32,32,0,,,,,,,,
4,4011,6,NA,NA,NA,,,,,,,,
4,4011,7,1,1,0,,,,,,,,
4,4011,8,1,0,1,,,,,,,,
4,4011,9,0,0,0,,,,,,,,
5,5001,1,3,3,0,,,,,,,,
5,5001,2,0,0,0,,,,,,,,
5,5001,3,0,0,0,,,,,,,,
5,5001,4,0,0,0,,,,,,,,
5,5001,5,0,0,0,,,,,,,,
5,5001,6,NA,NA,NA,,,,,,,,
5,5001,7,0,0,0,,,,,,,,
5,5001,8,0,0,0,,,,,,,,
5,5001,9,0,0,0,,,,,,,,
5,5002,1,89,60,29,,,,,,,,
5,5002,2,8,4,4,,,,,,,,
5,5002,3,0,0,0,,,,,,,,
5,5002,4,0,0,0,,,,,,,,
5,5002,5,0,0,0,,,,,,,,
5,5002,6,1,1,0,,,,,,,,
5,5002,7,1,1,0,,,,,,,,
5,5002,8,0,0,0,,,,,,,,
5,5002,9,0,0,0,,,,,,,,
5,5003,1,12,11,1,,,,,,,,
5,5003,2,0,0,0,,,,,,,,
5,5003,3,0,0,0,,,,,,,,
5,5003,4,0,0,0,,,,,,,,
5,5003,5,2,1,1,,,,,,,,
5,5003,6,NA,NA,NA,,,,,,,,
5,5003,7,1,1,0,,,,,,,,
5,5003,8,1,0,1,,,,,,,,
5,5003,9,0,0,0,,,,,,,,
5,5004,1,35,23,12,,,,,,,,
5,5004,2,0,0,0,,,,,,,,
5,5004,3,0,0,0,,,,,,,,
5,5004,4,0,0,0,,,,,,,,
5,5004,5,0,0,0,,,,,,,,
5,5004,6,NA,NA,NA,,,,,,,,
5,5004,7,1,1,0,,,,,,,,
5,5004,8,4,1,3,,,,,,,,
5,5004,9,0,0,0,,,,,,,,
5,5005,1,1,0,1,,,,,,,,
5,5005,2,0,0,0,,,,,,,,
5,5005,3,0,0,0,,,,,,,,
5,5005,4,0,0,0,,,,,,,,
5,5005,5,0,0,0,,,,,,,,
